semantic_id	authority_id	class	allocatable	architecture	features	minimum_revision	views	arrangements	lists_lanes_tiles	overlap	target_owned	state_behavior	source_basis	references
a64:semantic:register-bank:fpsimd	a64:register-bank:fpsimd	register_bank	yes	Armv8-A	fp_simd	v8Ap0	v0..v31|q0..q31|d0..d31|s0..s31|h0..h31|b0..b31	scalar8|scalar16|scalar32|scalar64|vector64|vector128	lanes|register_lists	all_views_with_same_index_overlap	none	arrangement_and_lane_are_operand_semantics	AARCHMRS:Instructions.json:FP_SIMD_operand_rules	operand:dN|operand:fp32|operand:fp64|operand:qN|operand:sN|operand:simd|view:dN|view:qN|view:sN|view:vN
a64:semantic:register-bank:gpr	a64:register-bank:gpr	register_bank	conditional	Armv8-A	base	v8Ap0	x0..x30|w0..w30|sp|wsp|xzr|wzr	scalar64|scalar32	register_lists	xN_overlaps_wN;sp_overlaps_wsp;xzr_overlaps_wzr	sp|wsp|xzr|wzr	x0..x30_are_allocator_visible_subject_to_ABI_and_fixed_roles	AARCHMRS:Instructions.json:GPR_operand_rules	implicit:x30|operand:address|operand:gpr32|operand:gpr32_or_64_by_bit|operand:gpr32_or_wzr|operand:gpr64|operand:gpr64_or_xzr|operand:wN|operand:xN|operand:xt_or_xzr|target:sp|target:wzr|target:xzr|view:address64|view:sp|view:wN|view:wzr|view:x30|view:xN|view:xzr
a64:semantic:register-bank:sme-za	a64:register-bank:sme-za	architectural_state	no	Armv9-A	sme	v9Ap2	ZA	matrix_b|matrix_h|matrix_s|matrix_d|matrix_q	tiles|slices|lanes	ZA_views_overlap_by_cataloged_tile_and_slice_formula	ZA	availability_and_liveness_depend_on_streaming_ZA_state	AARCHMRS:Instructions.json:ZA	state:ZA
a64:semantic:register-bank:sve-p	a64:register-bank:sve-p	register_bank	conditional	Armv8-A	sve	v8Ap2	p0..p15	predicate_b|predicate_h|predicate_s|predicate_d	predicate_patterns|register_lists	each_pN_is_one_scalable_predicate_bank	p15_when_instruction_assigns_fixed_role	predicate_granularity_and_merging_or_zeroing_are_operand_semantics	AARCHMRS:Instructions.json:SVE_P_operand_rules	state:SVE_P
a64:semantic:register-bank:sve-z	a64:register-bank:sve-z	register_bank	yes	Armv8-A	sve	v8Ap2	z0..z31	scalable_b|scalable_h|scalable_s|scalable_d|scalable_q	lanes|register_lists	zN_overlaps_architectural_low_128_bits_of_vN	none	vector_length_is_current_architectural_state_constrained_by_the_selected_target	AARCHMRS:Instructions.json:SVE_Z_operand_rules	state:SVE_Z
a64:semantic:state:authentication	a64:state:authentication	architectural_state	no	Armv8-A	FEAT_PAuth	v8Ap2	APIAKey_EL1|APIBKey_EL1|APDAKey_EL1|APDBKey_EL1|APGAKey_EL1	authentication_keys	none	key_halves_form_five_distinct_128_bit_keys	pointer_authentication_state	PAC_generation_authentication_and_strip_operations_record_the_exact_key_dependency	AARCHMRS:Registers.json:APIAKeyHi_EL1|APIAKeyLo_EL1|APIBKeyHi_EL1|APIBKeyLo_EL1|APDAKeyHi_EL1|APDAKeyLo_EL1|APDBKeyHi_EL1|APDBKeyLo_EL1|APGAKeyHi_EL1|APGAKeyLo_EL1	state:pointer_authentication
a64:semantic:state:data-cache-hierarchy	a64:state:data-cache-hierarchy	architectural_state	no	Armv8-A	base	v8Ap0	data_cache_levels|coherency_domains|maintenance_state	cache_lines	levels|domains	unified_levels_share_cataloged_data_and_instruction_components	cache_hierarchy	data_cache_maintenance_records_the_exact_scope_range_and_hierarchy_dependency	AARCHMRS:Registers.json:CLIDR_EL1|CCSIDR_EL1|Instructions.json:DC	implicit:cache_hierarchy
a64:semantic:state:debug	a64:state:debug	architectural_state	no	Armv8-A	base	v8Ap0	debug_configuration|debug_state|halting_debug_state|external_debug_state	debug_controls	banks|fields	banking_and_external_debug_views_follow_cataloged_debug_control_state	halting_debug_state	debug_entry_halt_and_system_register_access_record_exact_debug_dependencies	AARCHMRS:Registers.json:MDSCR_EL1|MDCR_EL2|MDCR_EL3	dynamic:EDSCR|dynamic:EDSCR2|dynamic:FGDTState|implicit:debug_configuration|implicit:debug_state|target:exception_target=debug_exception_route|target:halting_debug_state
a64:semantic:state:event-register	a64:state:event-register	architectural_state	no	Armv8-A	base	v8Ap0	PE_event_register	one_bit_event_latch	none	per_processing_element_state	event_register	SEV_and_SEVL_set_event_state;WFE_may_consume_it;event_wait_behavior_is_not_pure	AARCHMRS:Instructions.json:SendEvent|WaitForEvent	formula:wfe_event_register_update|implicit:event_register|implicit:global_event_registers|implicit:local_event_register
a64:semantic:state:exception	a64:state:exception	architectural_state	no	Armv8-A	base	v8Ap0	CurrentEL|ELR_EL1..EL3|SPSR_EL1..EL3|ESR_EL1..EL3|FAR_EL1..EL3	exception_level_banked_state	none	ELR_SPSR_ESR_and_FAR_instances_are_distinct_per_implemented_EL	exception_state	exception_entry_writes_banked_target_EL_state;ERET_reads_ELR_and_SPSR_and_changes_current_execution_state	AARCHMRS:Registers.json:ELR_EL1|ELR_EL2|ELR_EL3|SPSR_EL1|SPSR_EL2|SPSR_EL3|ESR_EL1|ESR_EL2|ESR_EL3|FAR_EL1|FAR_EL2|FAR_EL3	formula:current_exception_state|formula:exception_return_target_state|formula:legal_exception_return_state|implicit:ELR_ELx|implicit:SPSR_ELx|implicit:exception_state|target:ELR_ELx|target:SPSR_ELx|target:exception_state|target:exception_target=EL3_or_EL2_trap|target:exception_target=max(current_el,EL1)|target:exception_target=max(current_el,EL2)
